ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
ℹ️ [19:11:56] 🔍 MONITOR DE SUPABASE - SCRIPTS SEED
ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
⏳ [19:11:56] Aguardando Supabase ficar online...
ℹ️ [19:11:56] Checando a cada 10 segundos
ℹ️ [19:11:56] Timeout: 166.66666666666666 minutos

⏳ [19:11:56] ⏳ Tentativa 1/1000 (0 min decorridos)
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
⏳ [19:11:56] ⏳ Tentativa 13/1000 (2 min decorridos)
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
⏳ [19:11:56] ⏳ Tentativa 25/1000 (4 min decorridos)
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
⏳ [19:11:56] ⏳ Tentativa 37/1000 (6 min decorridos)
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
❌ [19:11:56] Variáveis de ambiente não configuradas
⏳ [19:11:57] ⏳ Tentativa 49/1000 (8 min decorridos)
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
